Plant,RF_MAE,RF_RMSE,LR_MAE,LR_RMSE
Plant 1,17.678695887085656,52.80438623277152,26.05132312285584,57.54268976921924
Plant 2,60.17045976914671,159.47380646860964,96.75021200662611,166.9568706962448
